tconst,parentTconst,seasonNumber,episodeNumber,numVotes,showRating,showVotes,titleType,primaryTitle,averageRating,startYear,endYear,runtimeMinutes,genres,numSeasons,showVariance
tt0701124,tt0096697,1,3,3007,8.7,350598,tvSeries,The Simpsons,7.4,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701059,tt0096697,1,5,2998,8.7,350598,tvSeries,The Simpsons,8,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701178,tt0096697,1,6,2881,8.7,350598,tvSeries,The Simpsons,7.6,1989,\N,22,"Animation,Comedy",31,0.642793387
tt0701232,tt0096697,1,11,2631,8.7,350598,tvSeries,The Simpsons,7.8,1989,\N,22,"Animation,Comedy",31,0.413088156
tt0701147,tt0096697,1,12,2868,8.7,350598,tvSeries,The Simpsons,8.4,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701211,tt0096697,2,2,2717,8.7,350598,tvSeries,The Simpsons,8.2,1989,\N,22,"Animation,Comedy",31,0.642793387
tt0767438,tt0096697,2,8,2546,8.7,350598,tvSeries,The Simpsons,8.4,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0757017,tt0096697,2,10,2283,8.7,350598,tvSeries,The Simpsons,7.8,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701269,tt0096697,2,12,2375,8.7,350598,tvSeries,The Simpsons,8.3,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701191,tt0096697,2,15,2373,8.7,350598,tvSeries,The Simpsons,8.3,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701063,tt0096697,2,16,2140,8.7,350598,tvSeries,The Simpsons,7.5,1989,\N,22,"Animation,Comedy",31,0.413088156
tt0701217,tt0096697,3,1,2989,8.7,350598,tvSeries,The Simpsons,8.6,1989,\N,22,"Animation,Comedy",31,0.642793387
tt0701183,tt0096697,3,2,2184,8.7,350598,tvSeries,The Simpsons,7.8,1989,\N,22,"Animation,Comedy",31,0.642793387
tt0763042,tt0096697,3,3,2243,8.7,350598,tvSeries,The Simpsons,8.2,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701110,tt0096697,3,5,2350,8.7,350598,tvSeries,The Simpsons,8.5,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0701098,tt0096697,3,10,2660,8.7,350598,tvSeries,The Simpsons,8.8,1989,\N,22,"Animation,Comedy",31,0.374464532
tt0768555,tt0096697,3,15,1960,8.7,350598,tvSeries,The Simpsons,8.1,1989,\N,22,"Animation,Comedy",31,0.642793387
